"","Rk","Name","Team","Age","Pos","GP","G","A","P","PIM","+/-","TOI","ES","PP","SH","ESG","PPG","SHG","GWG","OTG","ESA","PPA","SHA","GWA","OTA","ESP","PPP","SHP","GWP","OTP","PPP%","G/60","A/60","P/60","ESG/60","ESA/60","ESP/60","PPG/60","PPA/60","PPP/60","G/GP","A/GP","P/GP","SHOTS","SH%","HITS","BS","FOW","FOL","FO%"
"86","86","Matthew Boldy","MIN",21,"F","81",31,32,63,39,1,"18:29","14:33","3:47","0:08","23","8","0",5,"1","14","18","0","9","1",37,"26",0,"14","2","41.3%",1.241,1.281,2.523,"1.17","0.712","1.882","1.562","3.515","5.078",0.383,0.395,"0.778",255,"12.2%",65,"26",77,64,"54.61%"
"87","87","Pierre-Luc Dubois","WPG",24,"F","73",27,36,63,77,5,"18:27","14:45","3:36","0:04","16","11","0",1,"0","24","12","0","9","3",40,"23",0,"10","3","36.5%",1.203,1.604,2.806,"0.891","1.336","2.227","2.5","2.728","5.228",0.37,0.493,"0.863",205,"13.2%",71,"47",483,505,"48.89%"
"88","88","Tomas Hertl","SJS",29,"F","79",22,41,63,42,-36,"19:16","16:00","3:02","0:13","16","6","0",1,"0","25","16","0","4","2",41,"22",0,"5","2","34.9%",0.867,1.615,2.482,"0.759","1.186","1.944","1.495","3.986","5.481",0.278,0.519,"0.797",183,"12.0%",91,"57",792,653,"54.81%"
"89","89","Jordan Eberle","SEA",32,"F","82",20,43,63,34,6,"16:41","14:10","2:30","0:00","17","3","0",4,"1","31","12","0","9","2",48,"15",0,"13","3","23.8%",0.877,1.886,2.763,"0.878","1.601","2.479","0.877","3.506","4.383",0.244,0.524,"0.768",177,"11.3%",44,"25",34,43,"44.16%"
"90","90","Drake Batherson","OTT",24,"F","82",22,40,62,33,-35,"18:36","14:41","3:52","0:02","8","14","0",2,"0","25","15","0","4","0",33,"29",0,"6","0","46.8%",0.865,1.573,2.438,"0.398","1.245","1.643","2.647","2.837","5.484",0.268,0.488,"0.756",249,"8.8%",115,"35",13,25,"34.21%"
"91","91","Travis Konecny","PHI",25,"F","60",31,30,61,77,-12,"20:06","15:19","2:56","1:50","23","5","3",5,"0","17","10","3","2","1",40,"15",6,"7","1","24.6%",1.541,1.491,3.032,"1.501","1.109","2.61","1.697","3.394","5.091",0.517,0.5,"1.017",191,"16.2%",55,"38",28,32,"46.67%"
"92","92","Troy Terry","ANA",25,"F","70",23,38,61,22,-8,"19:22","16:26","2:46","0:09","18","5","0",3,"1","31","7","0","3","1",49,"12",0,"6","2","19.7%",1.018,1.682,2.7,"0.939","1.617","2.555","1.545","2.164","3.709",0.329,0.543,"0.871",188,"12.2%",12,"23",2,0,"100.00%"
"93","93","Joel Eriksson Ek","MIN",25,"F","78",23,38,61,44,4,"18:59","13:31","3:24","2:03","9","12","2",1,"0","26","11","1","3","0",35,"23",3,"4","0","37.7%",0.931,1.539,2.47,"0.512","1.479","1.99","2.713","2.487","5.201",0.295,0.487,"0.782",247,"9.3%",119,"55",684,702,"49.35%"
"94","94","Brent Burns","CAR",37,"D","82",18,43,61,44,19,"23:12","18:06","3:00","2:05","14","4","0",2,"1","24","19","0","12","4",38,"23",0,"14","5","37.7%",0.567,1.355,1.923,"0.566","0.97","1.535","0.974","4.627","5.601",0.22,0.524,"0.744",255,"7.1%",40,"86",1,0,"100.00%"
"95","95","Rickard Rakell","PIT",29,"F","82",28,32,60,16,-5,"18:26","15:08","3:17","0:00","17","11","0",2,"0","22","10","0","6","2",39,"21",0,"8","2","35.0%",1.111,1.27,2.381,"0.822","1.063","1.885","2.446","2.224","4.67",0.341,0.39,"0.732",244,"11.5%",141,"53",10,11,"47.62%"
"96","96","Viktor Arvidsson","LAK",29,"F","77",26,33,59,24,-4,"17:05","14:48","2:14","0:02","15","10","1",2,"0","18","15","0","7","1",33,"25",1,"9","1","42.4%",1.185,1.504,2.689,"0.79","0.947","1.737","3.472","5.207","8.679",0.338,0.429,"0.766",228,"11.4%",25,"48",27,40,"40.30%"
